Austria, Live births by birth cohort, age and birth order (horizontal parallelograms, age in completed years (ACY))
Last modified: 05/08/2021
Cohort  Age        Total          B1          B2          B3          B4         B5p
1929     12-           .           .           .           .           .           .
1929     13            .           .           .           .           .           .
1929     14            .           .           .           .           .           .
1929     15            .           .           .           .           .           .
1929     16            .           .           .           .           .           .
1929     17            .           .           .           .           .           .
1929     18            .           .           .           .           .           .
1929     19            .           .           .           .           .           .
1929     20            .           .           .           .           .           .
1929     21            .           .           .           .           .           .
1929     22            .           .           .           .           .           .
1929     23            .           .           .           .           .           .
1929     24            .           .           .           .           .           .
1929     25            .           .           .           .           .           .
1929     26            .           .           .           .           .           .
1929     27            .           .           .           .           .           .
1929     28            .           .           .           .           .           .
1929     29            .           .           .           .           .           .
1929     30            .           .           .           .           .           .
1929     31            .           .           .           .           .           .
1929     32            .           .           .           .           .           .
1929     33            .           .           .           .           .           .
1929     34            .           .           .           .           .           .
1929     35            .           .           .           .           .           .
1929     36            .           .           .           .           .           .
1929     37            .           .           .           .           .           .
1929     38            .           .           .           .           .           .
1929     39            .           .           .           .           .           .
1929     40            .           .           .           .           .           .
1929     41            .           .           .           .           .           .
1929     42            .           .           .           .           .           .
1929     43            .           .           .           .           .           .
1929     44            .           .           .           .           .           .
1929     45            .           .           .           .           .           .
1929     46            .           .           .           .           .           .
1929     47            .           .           .           .           .           .
1929     48            .           .           .           .           .           .
1929     49            .           .           .           .           .           .
1929     50            .           .           .           .           .           .
1929     51            .           .           .           .           .           .
1929     52            .           .           .           .           .           .
1929     53            .           .           .           .           .           .
1929     54            .           .           .           .           .           .
1929     55+        0.00        0.00        0.00        0.00        0.00        0.00
1930     12-           .           .           .           .           .           .
1930     13            .           .           .           .           .           .
1930     14            .           .           .           .           .           .
1930     15            .           .           .           .           .           .
1930     16            .           .           .           .           .           .
1930     17            .           .           .           .           .           .
1930     18            .           .           .           .           .           .
1930     19            .           .           .           .           .           .
1930     20            .           .           .           .           .           .
1930     21            .           .           .           .           .           .
1930     22            .           .           .           .           .           .
1930     23            .           .           .           .           .           .
1930     24            .           .           .           .           .           .
1930     25            .           .           .           .           .           .
1930     26            .           .           .           .           .           .
1930     27            .           .           .           .           .           .
1930     28            .           .           .           .           .           .
1930     29            .           .           .           .           .           .
1930     30            .           .           .           .           .           .
1930     31            .           .           .           .           .           .
1930     32            .           .           .           .           .           .
1930     33            .           .           .           .           .           .
1930     34            .           .           .           .           .           .
1930     35            .           .           .           .           .           .
1930     36            .           .           .           .           .           .
1930     37            .           .           .           .           .           .
1930     38            .           .           .           .           .           .
1930     39            .           .           .           .           .           .
